"objectid","id1","fk_zaehler","abkuerzung","bezeichnung","von","bis","richtung_in","richtung_out","korrekturfaktor","status","has_geschwindigkeit","velo","fuss","geometry"
"41","26","U15G3063868","FZS_QUAN","Quaibrücke Nord (Limmatseite)","20130823000000","20151124000000","Bellevue","Bürkliplatz","0.87","früher","0","0","1","POINT (2683403.2 1246821.1)"
"42","2962","Y2H16039396","VZS_LANS","Langstrasse (Unterführung Süd)","20180424000000","20180615000000","Helvetiaplatz","Limmatplatz","1","früher","0","1","0","POINT (2682360 1248448.2)"
"43","390","U15G3063869","FZS_LETL","Lettenviadukt (Limmatstr.)","20160330000000","20160930000000","Limmat","Gleisanlagen","0.79","früher","0","0","1","POINT (2682171 1249123.9)"
"44","2993","Y2H19111477","VZS_SCHE","Scheuchzerstrasse","20200110000000","","Innenstadt","Irchel","1.05","aktuell","0","1","0","POINT (2683573.2 1248544.9)"
"45","3004","ECO14043895","VZS_LIMC","Limmatquai --> Central","20200715000000","20200824000000","Central","","1.33","früher","0","1","0","POINT (2683457.2 1247064.5)"
"46","18","U15G2092649","FZS_HARD","Hardeggsteg","20131128000000","20140320000000","Kloster-Fahr-Weg","Hardturmstrasse","0.86","früher","0","0","1","POINT (2680439 1249929.9)"
"47","23","U15G3063866","FZS_ALTO","Altstetterstrasse Ost","20131128000000","20150331000000","Bhf. Altstetten","Lindenplatz","1.02","früher","0","0","1","POINT (2679190 1249435.9)"
"48","43","U15G3104445","FZS_ALTW","Altstetterstrasse West","20131128000000","20150331000000","Bhf. Altstetten","Lindenplatz","1.07","früher","0","0","1","POINT (2679174 1249437.9)"
"49","36","U15G3104443","FZS_CASS","Cassiopeiasteg","20150430000000","20151007000000","Stadtgrenze","Bellevue","0.91","früher","0","0","1","POINT (2683020.2 1244136.2)"
"50","50","U15G4025180","FZS_CHOR","Chorherrenweg","20150331000000","20151001000000","Limmat","Meierhofplatz","0.74","früher","0","0","1","POINT (2680002 1250595.9)"
"51","51","U15G4025180","FZS_HARD","Hardeggsteg","20140320000000","20150331000000","Kloster-Fahr-Weg","Hardturmstrasse","0.86","früher","0","0","1","POINT (2680439 1249929.9)"
"52","63","YPH14106664","FZS_INGA","In Gassen","20141107000000","20150909000000","Paradeplatz","Rathaus","0.95","früher","0","0","1","POINT (2683267 1247228.9)"
"53","27","U15G3063869","FZS_LETD","Letten / Dynamo","20140710000000","20150331000000","Limmatplatz","Hauptbahnhof","0.89","früher","0","0","1","POINT (2682978 1248743.9)"
"54","3","U15G3063869","FZS_LETD","Letten / Dynamo","20151001000000","20160329000000","Limmatplatz","Hauptbahnhof","0.89","früher","0","0","1","POINT (2682978 1248743.9)"
"55","24","U15G3063866","FZS_OHMO","Ohmstrasse Ost","20150331000000","20151001000000","Bhf. Oerlikon","Sternen Oerlikon","1.07","früher","0","0","1","POINT (2683557.5 1251702.4)"
"56","44","U15G3104445","FZS_OHMW","Ohmstrasse West","20150331000000","20150925000000","Bhf. Oerlikon","Sternen Oerlikon","1.26","früher","0","0","1","POINT (2683573 1251686.9)"
"57","2978","ECO10053914","VZS_SCHU","Schulstrasse","20190619000000","20230322000000","Irchel","Bahnhof Oerlikon","1.43","früher","0","1","0","POINT (2683405.5 1251617.1)"
"58","3021","U15G3063869","FZS_LETD","Letten / Dynamo","20210923000000","20220405000000","Limmatplatz","Hauptbahnhof","0.89","früher","0","0","1","POINT (2682977.8 1248744)"
"59","4257","Y2H21015036","VZS_BINZ","Binzmühlestrasse","20221208000000","","Glaubtenstrasse","Oerlikon","1.22","aktuell","0","1","0","POINT (2681857 1251990.9)"
"60","4260","U15G3063867","FZS_LANS","Langstrasse (Unterführung Süd)","20230211000000","20230323000000","Gleisanlagen","Limmat","1","früher","0","0","1","POINT (2682347.8 1248427.2)"
"61","32","U15G3063872","FZS_WEIN","Weinbergfussweg","20130711000000","20200212000000","Polyterrasse","Hauptbahnhof","1.07","früher","0","0","1","POINT (2683511.2 1248165.5)"
"62","391","U15G4025180","FZS_CHOR","Chorherrenweg","20160401000000","20160930000000","Limmat","Meierhofplatz","0.74","früher","0","0","1","POINT (2680002 1250595.9)"
"63","31","U15G3063871","FZS_INGA","In Gassen","20130711000000","20141107000000","Paradeplatz","Rathaus","0.95","früher","0","0","1","POINT (2683267 1247228.9)"
"64","39","U15G3104444","FZS_LANS","Langstrasse (Unterführung Süd)","20150310000000","20211028000000","Gleisanlagen","Limmat","0.23","früher","0","0","1","POINT (2682359 1248456)"
"65","30","U15G3063870","FZS_LANN","Langstrasse (Unterführung Nord)","20130711000000","20180203000000","Limmatplatz","Helvetiaplatz","0.32","früher","0","0","1","POINT (2682322 1248435.1)"
"66","33","U15G3063873","FZS_LIMM","Limmatquai","20130711000000","20181001000000","Rathaus","Seeufer","1.11","früher","0","0","1","POINT (2683437 1247198.9)"
