"objectid","id1","fk_zaehler","abkuerzung","bezeichnung","von","bis","richtung_in","richtung_out","korrekturfaktor","status","has_geschwindigkeit","velo","fuss","geometry"
"101","4259","Y2H23015383","VZS_SIHL","Sihlpromenade","20230120000000","","Innenstadt","Saalsporthalle","1.09","aktuell","0","1","0","POINT (2682375 1247054.9)"
"102","4264","Y2H23046073","VZS_SCHU","Schulstrasse","20230323000000","20230421000000","Irchel","Bahnhof Oerlikon","1.43","früher","0","1","0","POINT (2683405.5 1251617.1)"
"103","722","Y2H16039396","VZS_LANS","Langstrasse (Unterführung Süd)","20160427000000","20170908000000","Helvetiaplatz","Limmatplatz","1","früher","0","1","0","POINT (2682360 1248448.2)"
"104","1681","U15G6121229","FZS_KLOE","Kloster-Fahr-Weg (Europabrücke)","20170113000000","20230323000000","Werdinsel","Innenstadt","1.1","früher","0","0","1","POINT (2680049 1250303.9)"
"105","2642","U15G3104446","FZS_CASS","Cassiopeiasteg","20171017000000","20200827000000","Stadtgrenze","Bellevue","0.91","früher","0","0","1","POINT (2683020.2 1244136.2)"
"106","3282","ECO09113500","VZS_BINZ","Binzmühlestrasse","20181010000000","20190314000000","Oerlikon","Glaubtenstrasse","1.22","früher","0","1","0","POINT (2681857 1251990.9)"
"107","2982","Y2H19070585","VZS_LIMB","Limmatquai --> Bellevue","20190810000000","","Bellevue","---","1.47","aktuell","0","1","0","POINT (2683447.2 1247062.6)"
"108","2996","Y2H20011946","VZS_SAUM","Saumackerstrasse","20200214000000","20220522000000","Uetliberg","Bahnhof Altstetten","1.27","früher","0","1","0","POINT (2679339.2 1249346.2)"
"109","2997","Y2H19101198","VZS_LUXG","Lux-Guyer-Weg","20200214000000","","Innenstadt","Wipkingen","1","aktuell","1","1","0","POINT (2682933.2 1248820.9)"
"110","4262","Y2H23046072","VZS_MILI","Militärbrücke","20230323000000","","Bahnhofstrasse","Langstrasse","0.95","aktuell","0","1","0","POINT (2682731 1247707.9)"
"111","4263","Y2H23046073","VZS_SCHU","Schulstrasse","20230422000000","20250401000000","Bahnhof Oerlikon","Irchel","1.43","früher","0","1","0","POINT (2683404 1251624)"
"112","4266","Y2H21111040","VZS_BER2","Bertastrasse neu","20230530000000","","Wiedikon","Aussersihl","1.08","aktuell","0","1","0","POINT (2681301 1247665)"
